game,source,source_url,draw_number,draw_date,draw_day,main_draw_label,jackpot_amount,main_1,main_2,main_3,main_4,main_5,main_6,bonus_number,extra_number,secondary_numbers,secondary_ball_result
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3672,3672,2019-03-30,Saturday,MAIN DRAW,7000000.00,7,14,18,26,31,32,3,3807741,44372260-04;04937160-01;04987317-01;05028990-02;05045864-01;05252029-01;30217741-01;30478201-01;30591001-01;30715417-01;30865753-01;31256977-01;42637340-01;43562720-02;43571308-09;43582033-01;43646408-01;43681184-01;43770450-09;43772148-05;43823318-02;43904317-02;43929625-02;43962741-01;44162484-04;44207248-01;44395962-01;44423434-04;44517742-01;44519319-03;44642090-03;44669929-01;44730348-01;44791028-01;44811895-02;44826679-02;44826777-02;44922847-04;62704439-02;66323629-01;69477207-02;72072832-01;72104576-10;73423826-03;74743854-01;86475681-05;88289625-01;88299108-01;88305527-01;88470198-01;88541644-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3673,3673,2019-04-03,Wednesday,MAIN DRAW,10150393.10,12,17,29,35,40,47,23,1647470,45388325-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3674,3674,2019-04-06,Saturday,MAIN DRAW,5000000.00,6,19,30,37,38,49,34,5934020,78037124-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3675,3675,2019-04-10,Wednesday,MAIN DRAW,5000000.00,10,16,23,38,39,48,33,3966247,72329059-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3676,3676,2019-04-13,Saturday,MAIN DRAW,7000000.00,4,5,15,23,38,45,12,4128045,48637664-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3677,3677,2019-04-17,Wednesday,MAIN DRAW,9035956.10,10,11,20,26,38,43,3,3439983,50169123-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3678,3678,2019-04-20,Saturday,MAIN DRAW,13454892.10,11,15,32,34,44,47,3,3151371,51179126-01;07429649-01;20455865-02;20655081-03;21291093-02;39810449-01;39924485-01;51078991-03;51500350-01;51510264-07;70916757-05,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3679,3679,2019-04-24,Wednesday,MAIN DRAW,5000000.00,6,10,16,17,41,43,18,2270870,89936357-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3680,3680,2019-04-27,Saturday,MAIN DRAW,7000000.00,5,6,11,16,19,27,24,4956787,54054773-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3681,3681,2019-05-01,Wednesday,MAIN DRAW,5000000.00,23,27,28,34,38,43,48,5927529,55592663-03,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3682,3682,2019-05-04,Saturday,MAIN DRAW,7000000.00,3,4,12,21,41,49,5,1282591,27797657-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3683,3683,2019-05-08,Wednesday,MAIN DRAW,9268418.10,18,19,22,30,41,48,47,2740295,77825168-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3684,3684,2019-05-11,Saturday,MAIN DRAW,12575424.20,3,12,26,27,34,46,29,6933806,58866708-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3685,3685,2019-05-15,Wednesday,MAIN DRAW,15752666.40,5,6,32,40,42,47,17,3783485,93067846-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3686,3686,2019-05-18,Saturday,MAIN DRAW,5000000.00,7,8,13,27,28,34,2,5160310,41592166-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3687,3687,2019-05-22,Wednesday,MAIN DRAW,7000000.00,13,19,22,25,32,35,48,1628275,69834018-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3688,3688,2019-05-25,Saturday,MAIN DRAW,9000000.00,12,19,22,25,45,49,28,1161295,43449690-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3689,3689,2019-05-29,Wednesday,MAIN DRAW,11401703.40,4,5,15,38,41,42,36,6289396,10850069-07,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3690,3690,2019-06-01,Saturday,MAIN DRAW,14919256.30,16,29,34,35,47,49,10,3246531,71677198-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3691,3691,2019-06-05,Wednesday,MAIN DRAW,18147989.50,6,21,35,46,48,49,14,5496292,98225893-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3692,3692,2019-06-08,Saturday,MAIN DRAW,21701953.50,9,12,15,20,24,43,36,4974794,47518025-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3693,3693,2019-06-12,Wednesday,MAIN DRAW,25417531.70,22,23,31,38,47,48,10,4746144,49253485-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3694,3694,2019-06-15,Saturday,MAIN DRAW,29801647.00,10,19,24,30,35,49,32,6895049,50860170-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3695,3695,2019-06-19,Wednesday,MAIN DRAW,5000000.00,21,31,41,45,46,47,39,3752490,71614972-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3696,3696,2019-06-22,Saturday,MAIN DRAW,7000000.00,15,16,34,35,38,44,43,4140484,53419975-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3697,3697,2019-06-26,Wednesday,MAIN DRAW,9296637.40,4,10,17,24,26,33,2,1826361,64426367-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3698,3698,2019-06-29,Saturday,MAIN DRAW,12560434.30,2,5,19,21,29,46,15,1537259,14321212-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3699,3699,2019-07-03,Wednesday,MAIN DRAW,15764627.10,13,21,26,30,38,39,19,2095352,57125801-01;14498253-02;14566817-02;14645177-01;36429465-01;37025969-01;37287453-01;56562406-03;56666895-01;56848630-03;57005448-01;57017149-01;57040181-02;57098910-07;57376679-01;62689136-01;69228501-01;69516803-01;71959316-01;72113431-02;85357731-01,
